et,lt,count,available,complete
1575151200.000,1577829600.000,388,388,1
1577829600.000,1580508000.000,93,93,1
1580508000.000,1583013600.000,83,83,1
1583013600.000,1585688400.000,91,91,1
1585688400.000,1588280400.000,83,83,1
1588280400.000,1590958800.000,108,108,1
1590958800.000,1593550800.000,80,80,1
1593550800.000,1596229200.000,85,85,1
1596229200.000,1598907600.000,95,95,1
1598907600.000,1601499600.000,73,73,1
1601499600.000,1604181600.000,79,79,1
1604181600.000,1606773600.000,81,81,1
1606773600.000,1609452000.000,95,95,1
1609452000.000,1612130400.000,82,82,1
1612130400.000,1614549600.000,69,69,1
1614549600.000,1617224400.000,74,74,1
1617224400.000,1619816400.000,100,100,1
1619816400.000,1622494800.000,92,92,1
1622494800.000,1625086800.000,82,82,1
1625086800.000,1627765200.000,77,77,1
1627765200.000,1630443600.000,79,79,1
1630443600.000,1633035600.000,88,88,1
1633035600.000,1635717600.000,83,83,1
1635717600.000,1638309600.000,70,70,1
1638309600.000,1640988000.000,71,71,1
1640988000.000,1643666400.000,83,83,1
1643666400.000,1646085600.000,82,82,1
1646085600.000,1648760400.000,89,89,1
1648760400.000,1651352400.000,98,98,1
1651352400.000,1654030800.000,162,162,1
1654030800.000,1656622800.000,190,190,1
1656622800.000,1659301200.000,138,138,1
1659301200.000,1661979600.000,176,176,1
1661979600.000,1664571600.000,145,145,1
1664571600.000,1667253600.000,157,157,1
1667253600.000,1669845600.000,170,170,1
1669845600.000,1672524000.000,167,167,1
1672524000.000,1675202400.000,163,163,1
1675202400.000,1677621600.000,161,161,1
1677621600.000,1680296400.000,165,165,1
1680296400.000,1682888400.000,169,169,1
1682888400.000,1685566800.000,175,175,1
1685566800.000,1688158800.000,162,162,1
1688158800.000,1690837200.000,171,171,1
1690837200.000,1693515600.000,152,152,1
1693515600.000,1696107600.000,118,118,1
1696107600.000,1698789600.000,75,75,1
1698789600.000,1701381600.000,94,94,1
1701381600.000,1704060000.000,169,169,1
1704060000.000,1706738400.000,184,184,1
1706738400.000,1709244000.000,161,161,1
1709244000.000,1711918800.000,158,158,1
1711918800.000,1714510800.000,146,146,1
1714510800.000,1717189200.000,182,182,1
1717189200.000,1719781200.000,155,155,1
1719781200.000,1722459600.000,190,190,1
1722459600.000,1725138000.000,184,184,1
1725138000.000,1727730000.000,154,154,1
1727730000.000,1730412000.000,175,175,1
1730412000.000,1733004000.000,150,150,1
1733004000.000,1735682400.000,163,163,1
1735682400.000,1738360800.000,172,172,1
1738360800.000,1740780000.000,155,155,1
1740780000.000,1743454800.000,95,95,1
1743454800.000,1746046800.000,79,79,1
1746046800.000,1748725200.000,80,80,1
1748725200.000,1751317200.000,32,32,1
